,0,1,2,3,4,5,6,7,8,9
PROJECT_ID_0029,-0.9047313,-0.5542206,-0.046522196,0.34746403,-0.19649872,-1.3256501,0.8181068,0.8830769,0.18465681,-0.15790941
PROJECT_ID_0030,-0.45471832,-0.7709637,-0.26325136,-0.82578427,-0.15793936,-0.37425345,0.7920016,1.0863256,-0.53589207,-0.71184796
PROJECT_ID_0031,-0.7621754,-0.4239404,0.2475194,-1.0348977,-0.14278616,-0.7005797,0.83740115,0.98144495,-0.42258653,-0.9119166
PROJECT_ID_0032,-1.1057104,-0.1662182,0.9605087,-0.5137994,-0.0797045,-0.018586395,0.767741,0.19629036,0.09553097,-0.5019098
PROJECT_ID_0033,-1.2862105,-0.42650285,0.5121569,-1.2445031,0.043724947,-0.73211956,1.0110404,0.23695372,-0.3550434,-0.585934
PROJECT_ID_0034,-1.1650138,-0.11326346,1.0337858,-0.4425136,-0.12433401,-0.038062185,0.7862353,0.22759575,0.196161,-0.6020391
PROJECT_ID_0035,-1.4994241,-0.4760125,0.58637404,-1.0613669,0.32421848,-0.73382145,0.8764351,0.16450264,-0.8459256,-0.51934624
PROJECT_ID_0036,-0.19292997,-1.0473421,-1.3725564,-0.2638713,0.38687432,-0.65262455,1.1422803,0.3037271,0.009154035,-0.2606066
PROJECT_ID_0037,-1.4767575,-0.43199813,0.6042853,-1.0238252,0.3310384,-0.8138309,0.9184213,0.18566056,-0.85885555,-0.4949962
PROJECT_ID_0038,-1.0523669,-0.3601771,-0.22686337,-1.2051959,0.06790304,-0.58841705,1.0536051,0.22969203,0.12918663,-0.68871224
PROJECT_ID_0039,-0.9653376,0.43889517,0.12756497,-0.23033673,0.23342794,-1.2975806,0.9795142,0.8644221,0.43412155,-0.102045275
PROJECT_ID_0040,-0.5021745,0.011055299,0.7307624,-0.66741586,0.3051716,-0.61411864,0.7764358,0.5416969,0.17542717,0.49951246
PROJECT_ID_0041,-0.8300203,-0.55479515,0.68232393,-1.3484608,0.58461714,-0.3844972,0.69055915,-0.2627362,-0.22177833,-0.27311957
PROJECT_ID_0042,-0.6368213,-0.8569615,0.41099584,-0.81076956,0.49993515,-0.12076376,0.85352117,-0.73740345,-0.21366487,-0.5976353
PROJECT_ID_0043,-0.51270205,0.06623177,0.40785947,-0.0813754,0.43502438,-1.2534848,1.0768522,-0.07491387,-0.4123565,-0.6375792
PROJECT_ID_0044,-0.97733825,-0.5884721,-0.16169271,-0.5127369,-0.37703374,-0.5023443,1.178459,0.9149353,-0.20360966,0.42169884
PROJECT_ID_0045,-1.2205518,0.267856,0.22443277,-0.49424487,0.123487376,-0.9553117,0.97128505,0.6689372,-0.14578861,-0.42529678
PROJECT_ID_0046,-1.449087,-0.49594545,0.7098696,0.6211219,0.062155742,-0.43094963,0.5545818,0.11739488,0.057777654,0.029835152
PROJECT_ID_0047,-1.4612393,-0.47096366,0.76280296,0.65199953,0.066326454,-0.4713367,0.5321912,0.17171991,0.040393334,0.047231894
PROJECT_ID_0048,-1.1422769,-0.08162504,0.98908085,-0.50237256,-0.083891235,-0.051209383,0.81346464,0.19910254,0.06722008,-0.5267971
PROJECT_ID_0049,-1.1679438,-0.28707203,0.50993025,-0.61180854,-0.32123184,-0.37643194,1.2165769,-0.050621785,0.6036396,-1.0192239
PROJECT_ID_0050,-1.265629,0.032797076,0.6737884,-0.9746576,-0.13692312,-0.37925777,1.6008173,-0.21636054,0.0012072326,-0.34679142
PROJECT_ID_0051,-1.0147885,-1.1886984,0.7035611,-0.8665018,0.44384402,-0.32509315,0.8392562,-0.8440494,-0.015643803,-0.46112388
PROJECT_ID_0052,-0.92310977,-0.45018482,0.9398311,-0.38820165,0.021433067,0.24603137,0.7845582,-0.33321065,0.91017973,-0.5192262
PROJECT_ID_0053,-0.8166568,-0.9308007,0.302406,0.34229657,-0.32798907,-0.34996623,1.3613194,0.4198889,-0.31418258,1.0262611
PROJECT_ID_0054,-0.6943982,-0.2887448,0.8782058,-0.60119885,-0.5026509,-0.19372417,0.9867974,0.84293866,0.4985215,-0.020066127
PROJECT_ID_0055,-1.4505272,-0.47105402,0.5968233,-1.0754263,0.32135814,-0.7126902,0.88953024,0.21422601,-0.8773204,-0.53746027
PROJECT_ID_0056,-0.7170566,-0.77126217,0.85758424,-0.4598744,-0.52283734,0.6987485,1.2756046,-0.1696424,0.39373583,-0.55954045
PROJECT_ID_0057,-0.72006726,-0.30308133,0.3823589,0.13208953,0.786826,-0.4095201,1.4143832,-1.0309812,-0.78490084,-0.35350645
PROJECT_ID_0058,-0.5248122,-0.6830205,0.22946171,-0.7165215,0.7555428,0.15222521,1.4316964,-0.86982316,-0.9181013,0.13618717
PROJECT_ID_0059,-0.32577908,-0.89673376,1.7444446,0.003951045,0.48671576,0.43708783,0.9163334,-0.6346614,-0.6669264,-0.19940197
PROJECT_ID_0060,-1.4043744,-1.1286441,0.4878459,-1.0751518,0.054908548,-0.5560464,0.91258496,0.011416573,-0.46464878,-0.3759829
PROJECT_ID_0061,-1.811855,-0.31093782,-0.6217772,-0.27260223,0.012110124,-0.28302473,1.5833396,-0.3936556,0.33659276,-0.75915927
PROJECT_ID_0062,-0.55296195,-1.147313,0.73206824,0.1887006,0.029418128,0.85443366,0.728642,-0.5534866,0.526274,-0.43233445
PROJECT_ID_0063,-0.64491564,-0.31007627,0.8633812,-0.26799378,0.4213159,0.12765886,1.1323079,-0.75696266,-0.60938746,-0.53584665
PROJECT_ID_0064,-0.9753565,-1.1140723,-0.5510708,-0.70759857,-0.18734476,-0.61244106,1.2802213,0.49835357,-0.45409328,0.26923868
PROJECT_ID_0065,-1.4264764,-0.692739,0.41506281,-0.5940877,0.07681572,0.03496862,0.5186368,-0.08976589,0.44108883,-0.78036755
