,0,1,2,3,4,5,6,7,8,9
PROJECT_ID_0017,-0.51305586,0.41056055,-1.544582,0.7310761,0.16917828,-0.30254707,0.11984265,0.42458922,0.64343536,-0.5587647
PROJECT_ID_0018,-0.34422687,0.4779976,-1.1526556,0.8472604,0.60165435,-0.40908757,-0.6895964,0.617104,0.50191057,0.22017261
PROJECT_ID_0019,-0.9018474,0.41487083,-1.1606048,0.7799273,0.6099666,-0.28061384,-0.31603944,0.49456412,0.9359635,-0.44034055
PROJECT_ID_0020,-0.69230825,0.20387498,-1.2792768,0.55554575,1.0001571,-0.4336343,-0.56539595,0.6364208,0.5139018,0.5038866
PROJECT_ID_0021,-0.50521404,1.0744178,-1.9402444,-0.030731386,-0.10055369,-0.40028104,0.40362287,0.18775749,0.50499034,0.60849065
PROJECT_ID_0022,-0.48050717,0.23931101,-1.9802092,-0.07570852,0.7320409,-0.23332468,0.39162096,0.24808061,1.1871623,-0.22425327
PROJECT_ID_0023,-0.87382954,0.44782358,-1.4695678,0.5763101,0.4384928,-0.60335433,-0.2809801,0.4832009,0.3130141,-0.21537101
PROJECT_ID_0024,-0.8521083,0.1574483,-0.92114294,0.65914005,0.67145365,-0.4082666,0.12782697,0.56958926,0.3941732,1.2840441
PROJECT_ID_0025,-0.9363648,0.17839034,-1.8112749,-0.3156503,0.6021042,-1.5169761,-0.36564708,0.23156223,0.558305,0.94903225
PROJECT_ID_0026,-1.022909,0.5894001,-1.2861234,0.54063743,0.4160207,0.37675586,0.86230516,0.89375824,1.0174488,-0.013062953
PROJECT_ID_0027,-0.5733827,0.9986285,-0.9226068,0.24617748,0.70410085,-0.014716344,-0.1555667,0.86564136,1.1507468,0.4092275
PROJECT_ID_0028,-0.90229934,-0.23201433,-1.260097,-0.27602297,0.0032598153,-0.5841359,-0.08036837,1.1150192,0.28396016,0.7721709
PROJECT_ID_0029,-1.2259188,-0.03559475,-1.2639266,-0.71729314,0.3054733,-0.32582152,0.2759815,1.3592851,0.27054465,0.78380746
PROJECT_ID_0030,-0.9007754,0.45086902,-1.1525735,0.2007571,0.044537753,0.83103865,-0.15212707,1.6268445,0.16796163,0.7569843
PROJECT_ID_0031,-0.963749,0.47021523,-1.0386693,0.32273862,0.014825099,0.3071438,-0.39757752,1.7921424,-0.006645746,0.62308425
PROJECT_ID_0032,-1.6060386,-0.42830613,-0.6482203,0.7188705,0.6284917,-0.4123074,-0.44554627,1.3024932,0.17540145,0.08683912
PROJECT_ID_0033,-0.9882162,-0.2674068,-0.8821854,0.8012207,0.33152363,-0.16581751,-0.52614874,2.0174417,0.5235631,0.034694448
